name,partType,partQuality,partEffect,imgUrl
Nerve Intensifier,core,purple,All pilot status +150. Aircraft movement speed +15%.,https://rwiki.jp/attach/ironsaga/9/90/13609/731507a879374255a97b1c53583b463c.png
Enhanced Charge Core,core,purple,HP +35%. Tackles target enemy when active skill is used. Damages scales with part level.,https://rwiki.jp/attach/ironsaga/a/a8/13368/c79e2834c692a702f78be63f806345ee.png
Guren Avenger,core,purple,HP +25%. Plants a guren mine every 3 seconds. Scatter a minefield of guren mines when destroyed. Destroyed dopplgangers won't trigger this effect. Damage scales with part level.,https://rwiki.jp/attach/ironsaga/0/06/12055/bf4a3490b96c558c1ede8ece4bed38ee.png
Revolver Core,core,purple,Automatic and burst ATK +50%. Automatic and burst magazine +1.,https://rwiki.jp/attach/ironsaga/5/5d/12050/07f4997ac6d740c34bcfabcaab6aa1fa.png
Ejected Burst Core,core,purple,Burst ATK +50%. All weapon attack interval -50%.,https://rwiki.jp/attach/ironsaga/8/82/12066/b05e5137cead79c746e81a50ebf2e6c2.png
Tesla Engine,core,purple,Increase shield duration by 40% and decrease shield cooldown by 40%.This effect can stack. Increase aircraft's unique ability by +20%. This effect can stack. Increase reaction stat when moving.,https://rwiki.jp/attach/ironsaga/e/ea/12067/a3b28268e98b4605e2fca834b58b4232.png
Multi-threaded System,core,purple,"For each unique weapon (Main, secondary, missile, melee and special weapon) equipped on the mech, increase final damage dealt by 6%.",https://rwiki.jp/attach/ironsaga/e/ef/13607/37065a068020707aea922e16a8a285b6.png
Refresh Orb,core,purple,HP+ 25%. Gain 10% SP at the start of the battle. Active skill canbe used one additioal time. This effect can stack.,https://rwiki.jp/attach/ironsaga/8/8f/12051/4b4525ed5515a2504e23d3e551168354.png
Large Defense Core,core,purple,HP+ 30%. Team Aura: Reduce all damage received by -10%. Does not stack with same type of aura effect.,https://rwiki.jp/attach/ironsaga/5/5b/12068/69546100fe5b819bbf46b9b799385da5.png
Large Attack Core,core,purple,All weapon ATK +40%. First weapon ATK +40%.,https://rwiki.jp/attach/ironsaga/9/94/12070/3195b5e9ddd10966f2505836355dda92.png
Maintenance Core,core,purple,HP +15%. heals +1.5% of maximum HP every second. This effect cannot stack. Recovers 15% of maximum HP when active skill is used. This effect cannot stack.,https://rwiki.jp/attach/ironsaga/7/78/12069/fe00bc136f28299c605ccd72b9d9cc28.png
Double Cooling Core,core,purple,All weapon reload faster by +40%. All weapon attack interval -50%.,https://rwiki.jp/attach/ironsaga/a/a5/12060/33ce8b5ef39bbee163525600f4449c18.png
Firearm Suppressor,core,purple,Secondary arament ATK +50%. Increases secondary armament's range and muzzle velocity by +50%. This effect does not apply to beam weapon.,https://rwiki.jp/attach/ironsaga/c/cc/12053/b3e24b5c007819041b68672a39c5550c.png
Reaction Intensifier,core,purple,"Switching between weapons and abilities is +30% faster. When an opponent uses an active skill, Increase all of the pilot's stats by 30% for 6s..",https://rwiki.jp/attach/ironsaga/1/18/15211/2be471859be893a0dae3a07142b32b08.png
S-Weapon Limit Break,core,purple,Super Weapon ATK +50%. When an active skill was used during the battle Instantly reload super weapons by 50%...,https://rwiki.jp/attach/ironsaga/1/1b/15200/f60d4b05fba6cb8704a3ff6a15935e56.png
AP Shell,shell,white,Main Armament ATK +25%,
Basic Shell,shell,white,Rank 1 and rank 2 weapon ATK +50%,
HE Shell,shell,white,Explosive ATK+30%,
Portable Missile box,shell,white,Missile weapon ATK +15%. Launch a missile every 2 second.,
Reckless Sword,shell,white,Melee Damage +60% Ranged Damage -50%,
Single-Shot Shell,shell,white,Single-shot ATK +20%. Single-shot reload faster by +10%,
Beam Shell,shell,green,,
Compressed Shotshell,shell,green,Shotgun ATK +20% Increase shotgun cartridge by 1.,
Corrosive Shell,shell,green,,
Energy-Absorption Shell,shell,green,,
EM Shell,shell,green,,
Intermediate Shell,shell,green,Rank 2 and rank 3 weapon ATK +35%.,
Large HE Shell,shell,green,,
Napalm Shell,shell,green,,
Plastic Sabot,shell,green,,
Rifiling Shell,shell,green,,
Rocket Fist,shell,green,,
Seeker,shell,green,,
Vibration Dagger,shell,green,,
Wide Range Beam,shell,green,,
Advanced Shell,shell,blue,,
Condensed AP Shell,shell,blue,,
Enhanced Single-shot,shell,blue,,
Fin-Stabilized Shell,shell,blue,,
Freezing Shell,shell,blue,,
High-Tech Shell,shell,blue,,
Intensive Shell,shell,blue,,
Negative Energy Beam,shell,blue,,
Ordinary Shell,shell,blue,,
Parallel Missile,shell,blue,,
Stun Grenade,shell,blue,,
Absolute-Zero Shell,shell,purple,,
Acid Shell,shell,purple,Acid ATK +50%. Increase corrosion duration by +50%.,
Charged Shell,shell,purple,Single-shot ATK +35%. Increase single-shot ATK by an extra 1% every second. Maximum 50%,
Combo Counter,shell,purple,,
Condensed HE Shell,shell,purple,Explosive ATK +75%. Decrease explosive attack's explosion radius by -75%.,
Ether Shell,shell,purple,,
Flame Shell,shell,purple,Fire ATK +50%. Increase burn duration dealt by +100%.,
Helix Shell,shell,purple,,
High Energy-Absorption,shell,purple,,
High-Brass Shotshell,shell,purple,Shotgun ATK +30%. Increase shotgun cartridge by 2.,
High-Frequency Oscillator,shell,purple,,
Hyper AP Shell,shell,purple,,
Hyper Beam Sword,shell,purple,,
Large Plastic Sabot,shell,purple,,
Multi-Explosive Missiles,shell,purple,,
Plasma Shell,shell,purple,EM and beam ATK +35%. EM and beam inflict -50% armor break. Cooldown:3s.,
Premium Shell,shell,purple,Rank 4 and above weapon ATK +45%,
Smite Shell,shell,purple,Normal and explosive main armament ATK +45%. Normal and explosive main armament have a 33% chance to knock down targets and deal additional damage.,
