Pilot,Description,Skill1,,Skill2,,Skill3,,Skill4,,image
Arashi,"A ninja newly sworn to the service of the Divine Empress's palace, frequently deployed from the palace to carry out certain small missions. He has an indifferent personality and cares little about wealth or status, but has a strong affinity for snacks of all kinds. Under the orders of the Divine Empress, he occasionally engages in small talk with the Divine Empress about foreign customs and foods outside the palace walls, and has no idea how great a comfort this is to the Divine Empress.",Multilple Replication,"Creates 4 temporary duplicates, gets in stealth Enters stealth for 1.3s and recover little HP",替身术,Teleports when takes melee attack and leaves a duplicate. CD 10s. Can not be stacked with 100% evade skill,Shadow Crevice,"When target gets knocked down around, gets Paralysis for 2s to ignore immunity. Minimum interval 8s",碎片收集,召唤或幻象单位阵亡时，回复自身5%耐久，最多触发20次。,
Archduchess Ann,"Archduchess of Mjollnir Kingdom. Despite her young age, she has long been a famous brave warrior. After all, who would know that this girl, who looks extremely cute and a little bit short, would be a formidable opponent with the title of ""God Hammer""?",Epic Strike,"A jump attack that deals great damage, depending on weight, fighting, and skill level.",Perfect armor,Withstands 3200 shell damage. Not bonused by defense. Cannot be stacked with other shield like effect,Armor Explosion,Activates when take damage the first time; Explodes and temporarily enhances yourself. Damage increases as skill level ups,Challenger,"Activates when the enemy casts an active skill, ATK & DEF +50% and becomes immune to debuffs for 2.5s .",
Archduchess Arseille,"The Archduchess of the ""Divine Lance"" Gungnir Kingdom. As a righteous, brave, and a broad-minded lady, the straightforward combat style is perfect for her. She hates anything that beats around the bush.",Unbreakable,Collides to all enemies and activates all skills parts and chassis features that can be activated by action.,Cleanse,6% chance for melee attacks to destroy shields and force fields and apply knockdown effect.,Purify,16% chance for melee attacks to remove selves debuffs and enemies' buffs,Vitality,Activates after using a mecha action. Heals 1.5% HP.,
Archduchess Rhea,"One of the six royal candidates for Valhalla Union, Archduchess of Sillven Kingdom. As a princess of a relatively weak country, she prevented the invasion of the neighboring Tyrfing Kingdom several times with her wisdom and diplomatic strategy.",Sillven's Shield,A shield that can withstand any attacks. No time limit but it can withstand up to 25 rounds,Love,Recovers 0.6% of HP per second for all allies. Cannot be stacked with same kind of recovery effects.,Pacifism,"HP+ 20%, ATK -5%",Polar Leader,"Group Aura: Freezing, fire defense and abnormal resistance +9%. The effect doubles for the six Valhalla kingdoms. Group Aura: Ice, fire defense and freezing, burn resistance +9%. The effect doubles for the six Valhalla kingdoms",https://i.imgur.com/7XqnVdY.png
Archduchess Trista,"One of the six royal candidates in Valhalla Union, Archduchess of Guran Kingdom. She is an exceptional sharpshooter and is considered a hot prospect for the next ""Battle of Electors"".",Missile rapid shot,Missle weapons and drones fire in a volley for 1.6s. Reloads randomly,Dual-Shell Volley,Using 2 same missile weapons to attack simultaneously. Affected weapon's attack +9.6%.,Awaken,The reader.pilot's active skill can be used twice. Gains 0% SP when in the battle,Multiple Load,15% chance for normal and explosive missles to inflict random abnormalities.,https://i.imgur.com/gdEMpgL.png
Auru & Fillo,"The twin maids of the Takahashi Family and they are always around Natsumi, however, no one knows who is the older one, including Natsumi herself.",Elemental Blast,ATK & DEF +20% and becomes immune to debuffs for 4.2s . Launches many elemental bombs for 4.2s,Elemental Affinity,Non-normal attacks damage+10%. Non normal attacks taken-10%,Akimbo,"When using 2 identical weapons simultaneously, ATK+0%.",Barrage Counter,"Cleanse freeze, burn, and paralysis status conditions every 1.5s and counter with an attack of the same element.",
Aya,"A slave girl from Qujra who became emotionally numb and could only blindly comply with the master's orders because of the tragic experience of her childhood , but surprisingly, she has a gift in operating machines.",Recovery Field,Allies heal12% of HP per second in 3s. Ying Qi will get recovered wherever he is.,Study,"Pilot's four attributes +5%, co-reader.pilot's ult will be the first choice",Adversity Survival,Debuff resistance+ 1% every 1s. Up to 100%.,Landmine Combinesor,Plants 1 random landmine every 5s.,https://i.imgur.com/PO2JbKF.png
Ayisha,An assassin from Qujra who was once a dancer. She is mediocre in dancing but quite talented in assassination. It seems that she does not care about anything and is listless all day long.,Rotating Shuriken,Lunches rotating shurikens at all enemies. Damage increases with skill level,Escape,Increases evasion possibility when moves. Mecha gains an extra escape command. CD decreases with skill level. Min: 10s,Master of Clone,The duration of mirror unit increases. The duration increases with skill level. Max 2s. Can be stacked.,Residual Image,HP+6%. Generates a mirror unit in the opposite direction every 4s to obstruct enemy's aim. Creates an afterimage in the opposite direction every 4 seconds. Enemy's target changes to the afterimage.,https://i.imgur.com/jNyZTMn.png
Bab,"A witch doctor of a God named Emma in a local tribe in South Africa. After the tribe joined Vaca, the latter started to push out local religions. He joined the Resistance Army for his own belief.",Landmine Array,Plants a landmine array. Damage increases with skill level,Anma's grace,Absorbs all freezing and fire damage taken into HP. Minimum interval: 2.5s,Iron Wall,The damage taken from turret or upper body's front-21%. Can be stacked,Sapper,Plants a landmine every 5s.,
Barmov,"His reputation goes somewhere between ""Graceful Beast"" and ""Cruel Gentleman"". But if we've seen his fight skills, perhaps people would much rather call him ""elegant torturer"".",Primal Roar,Roar continuously. Stun enemies forcibly. Increases allies' ATK for 3s,Survival Instinct,Heals up to 2% HP per second. Recovery speed increases with lower HP. This effect cannot be stacked with recovery per second buffs.,Rapid Combo,40% chance to cancel the post motion. ATK+ 50% and attack directly,Ultra,Mech’s ability cooldown -12%.,https://i.imgur.com/U5mS149.png
Becas,"Becas Shannam, a C-class mercenary of OATH Company. With an easygoing personality, he likes to do things in his own way, which also makes him sometimes unpredictable.",Fire At Will,Reloads and fires with all weapons for 1.5s. Gradually reduces melee skill's CD,Consecutive Battle,Activates when an enemy has been killed. Heals 15% HP. The effect halves if the enemy is killed by an ally.,Unyielding,"Upon taking fatal damage, remains active for 2.5s. Becomes immune to all debuffs and ATK+50%",Awaken,The reader.pilot's active skill can be used twice. Gains 0% SP when in the battle The reader.pilot's active skill can be used twice. Gains 0% SP when joins the battle,
Bemular,某日突然出现在进次郎与早田面前并对二人进行攻击的外星人，一直将自身包裹在神秘的装甲之中，似乎与早田父子有着千丝万缕的关系,神秘来客,化身红色光球在6s秒内抵御大部分伤害并吸引所有敌方注意，结束后消失,最初的敌人,开场6s秒内，以自己为目标的敌方无法发动攻击,拯救,队友濒死时发动，限一次，扣除自身当前40%的耐久，使濒死队友机体复原，恢复50%耐久。使用百慕拉外甲时，扣除耐久量减半,反击,耐久1/3以下时立刻使用最强动作指令，同时6秒内攻击提高35%,
Bethany,"Daughter of the province governor, who is dedicated to improving the citizens' living condition and advocates peaceful coexistence with the Freedom States. She has a strong personality and never compromise in the face of threats.",Mass Shield,Creates a shield for allies for 1.5s. The shield cannot block melee attacks and grenades.,Unity,"If there are 4 or more ally pilots on the battlefield, final damage taken-15%. Cannot be stacked",Guardian Aura,Group Aura: DEF+ 7.5%. Applies only to living allies.,Pacifism,"HP+ 20%, ATK -5%",https://i.imgur.com/Cnp4fZU.png
Bradley,A man who has been through countless battles. Nobody knows the limits to his strength nor where his hair is.,Iron Curtain,DEF+50% for 3.6s,Stillness,"20% chance to ignore all knockdown effects except throwning skills. Cancels weapon recoil, and becomes immune to stun, interference and knock up",Guardian Aura,Group Aura: DEF+ 7.5%. Applies only to living allies.,Man of Iron,Invalidates first 20 instances of damage,https://i.imgur.com/azNuGPZ.png
Byron,A War Institute weapon master banished by the Mechanical Vatican with a highly mechanized body. His superior power separates him from the others and he is now a member of the Phantom Cross.,Fuuma Shuriken,Throws 4 special shurikens. Damage increases with skill level,Full Absorption,Absorbs 10.5% of damage dealt into HP. Can be stacked.,Empty Cicada,Teleports to the back of the enemy after receiving a melee attack. CD: 5.6s. The effect cannot stack with other 100% Evade skills.,Telekinesis Resistance,Becomes immune to interference debuffs. The duration of Paralysis and stun-50%,https://i.imgur.com/TBjfu2m.png
Carlson,"Carlson Shelley, B-class mercenary from OATH Company. He is proficient in shooting guns and only takes 0.23 seconds to draw his pistol. With a fun and humorous personality, he calls himself a gentleman.",Secondary Armament Rapid Fire,All secondary armaments fire at the same time for 2.1s. Increases the reload speed and doubles the scatter degree.,Gentleman,"Every time there is a female reader.pilot in battle, your final damage taken-5%.",Secondary Armament Mastery,Secondary armament's attack+ 21%.,Consecutive Battle,Activates when an enemy has been killed. Heals 15% HP. The effect halves if the enemy is killed by an ally.,https://i.imgur.com/8h2K0Bx.png
Carol,A trainee knight of the Lake Goddess. A simple girl who is upright and simple and travels around the world to make herself a better knight.,Battlefield Phantom,Creates a clone unit for 4.5s at most.,Concentration,The first weapon's attack +40%.,Force,Damage taken decreases with lower HP. Up to 20%. Cannot be stacked.,Unyielding,"Upon taking fatal damage, remains active for 2.5s. Becomes immune to all debuffs and ATK+50%",https://i.imgur.com/ErvCrLX.png
Catalina,"A Desert Pirate who struck fear in the whole Barbara Union with just one sea sand warship. She is bold and forthright and will not let go of anything she likes, no matter they are talented person or treasures.",Fixed Point Strike,Requests a bombardment support from the mothership. Adds 1 grenade for every 2 levels,Pirates' Force,"Summons a minion with the same star rarity as the leader every 12s, up to 5 times.",Triumph Aura,Group Aura: ATK+ 6%. Cannot be stacked with identical aura. Applies only to living allies.,Field Guard,Activates on debut. Whole team DEF+25% for 5s,https://i.imgur.com/J4dtdvI.png
Charlotte,"As a little bounty hunter, Charlotte is working hard in order to be as famous as her idol Mephis. The weapons she made by herself has become quite famous in the bounty hunter community already.",Hunter's Net,Releases a giant iron net to trap a target and reduces its ATK and DEF for 2.5s,Raid Tips,"If an enemy does not target at this mecha, increases the final damage dealt by 14%.",Critical Dartle,14% chance for the main armament to fire freely. Minimum interval: 1s,Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,https://i.imgur.com/4ahvaXs.png
Cherise,"A rebellious girl who ran away from her home. In a gang fight, she was saved by Orlando and later joined Osin. She is tyrannical and vicious and fond of throwing knives.",Weakness Mark,Decreases resistance and take 1.5 times damage in 3s for all enemies,Fighting Spirit,"Gains 25% SP at the start of battle. Can be stacked. One-time use only. When SP is full, uses the ULT instantly.",Aggressive,ATK+ 20%. HP-5%.,Soul,ATK+75% for 5s when using your active skill,
Chosokabe Wayne,"A member of the mercenaries actually in control of the Dark Zone of the Dukedom, he is in outstanding physical condition and often achieves surprise victories even when using outdated and shabby equipment. An aesthete and dandy with an undisciplined nature, he pilots a bat mecha. After running into Eleven by chance in a battle, he is currently in mad pursuit.",Sniper kill,Shoots an arrow that ignores any DEF skills. Damage increases with skill level.,Joint destruction,Melee attack hit increases 1s for enemy's action CD. Minimum interval: 4s.,X cut,Melee attacks knock down and deal 30% of the target's current HP. Interval: 15s.,See through,I can see through your attack! DEF increases every1s. Max damage reduction: 33%.,https://i.imgur.com/q2GpSqg.png
Christine,A black sheep of the Mechanical Vatican. She had her sense of pain removed in order to become stronger and her body became extremely twisted after undergoing cybernetic modifications. She was always in detention for vandalism and eventually banished by the Vatican. She now serves the Phantom Cross after being recruited by Byron.,Death Spiral,Launches a drill to attack enemies continuously. Damage increases with skill level,Demolition,"Activates when an enemy has been killed. ATK+30% for 6s, the effect halves if the enemy is killed by a teammate.",Enthusiasm,ATK+15%. Becomes immune to freezing effect. The duration of stun and interference-50%,Indifferent,Nullifies one enemy's attack every 1.2s. Cannot be stacked with the same effect.,https://i.imgur.com/e1qKUNA.png
Clara,"A rebellious girl who mingled with the street gangs. She is capricious, competitive and moody, who likes jazz, hip-hop and rock'n'roll a lot.",Duel,Provokes an enemy and targets each other. Your ATK and DEF+60% within 4s,1v1,"When targeted by the enemy, ATK, DFE +9%.",Moody,Activates at the start of a battle. Gains random buffs. Damage increases with skill level.,Vitality,Activates after using a mecha action. Heals 1.5% HP.,https://i.imgur.com/D0n6BOw.png
Constance,"When you devote yourself to the god, you can hide yourself in steel. This is Constance. Despite being the most unnoticeable member of the War Institute that is loyal to the Mechanical God, nobody can forget her swift movement in the battlefield.",Full Absorption,Absorbs 50% damage dealt to HP for 8s.,Fear of Seckill,Increases 500% damage dealt to target with 99% or above HP,Crush,The final damage for knocked down enemies+ 30%.,Cleanse,6% chance for melee attacks to destroy shields and force fields and apply knockdown effect.,https://i.imgur.com/jX3Brmw.png
Cruz,Nobody understands what you are talking about hahahaha...so just act cute~,Missile rapid shot,Missle weapons and drones fire in a volley for 1.6s. Reloads randomly,Extra Load,Reloads an extra ammo for the first missile weapon. CD Reduction of the weapon+10%.,Inviolability,Taking damage might prompt public outrage. ATK+21% for 3s for all allies. The effect doubles for male allies.,Human Purge!,This effect is activated randomly. ATK+75% briefly.,https://i.imgur.com/gVP7u8r.png
Cynthia,"She is the aunt of Slokai the Pope in family's hierarchy. As an extreme expansionist, she is in charge of the Tech Eye. She sleeps during the day while takes control of the Mechanical Vatican at night.",Skill Copy,Copies a random reader.pilot's ULT with the same skill level.,Nightbird,ATK and HP+ 10% from 18:00 to 06:00.,Anti-stealth,Removes the enemies' stealth and targets them. Chance increases with skill level,Unlimited Awakening,The reader.pilot's active skills can be used indefinitely. Gains SP after 3s,https://i.imgur.com/NfIV9nS.png
Dai,"Being sharp and insightful, Dai the anti-hero, serves as a spy in the Far East under the code name of Spirit Snake.",Multitask,"Activated skills, chassis features and parts can be activated ignoring trigger type and halves its interval for 6s",Cadence,Removes all debuffs. Reloads 6% bullets immediately upon missile attacks. Minimum interval: 4s,Chaotic dance,Short time defense action's cool down time-50% (Including Chariot Charge )when Secondary armament or drone attacks. Interval: 3s,Hidden Danger,Main armament's attacks apply armor penetration. Decreases resistance and take 1.5 times damage in 0.7s. Minimum interval: 4s,
Dan Moroboshi,SSSP（Sicence Special Search Party科学特别搜查队）所属的执行队队长，是一位不论何时都保持着认真态度的，沉着干练的青年男性，身着“奥特曼装甲7.0（通称SEVEN）”进行战斗，对待犯下了罪责的外星人完全不留任何情面。,到此为止了,使用剑形格斗武器的机体时，施展特殊剑技“拔刀·格杀”，升级提升伤害，使用赛文装甲时必定触发瞬时强化效果。,奥特意念,首次凝视目标时，使目标怒气降低，3秒内断开控制，且ATK-50% for 6s，对每个目标仅生效1次。,Advanced Sword Arts,Permanently increases 1% melee damage when there is a successful melee hit. At most 50 times,战斗意志,受伤触发，减少受到伤害0.5%，最多叠加到35%，使用赛文外甲时，耐久提升777,
Divine Empress,"Queen of Hinomaru. Despite having no actual power, she still has enormous influence over citizens and clerics. Born indifferent and desireless, she didn't even fight back when being imprisoned in the royal castle.",Evil Dispel,Removes debuffs and enemies' buffs for 1s,Amulet,One time only. 50% chance to activate. Enters stealth and heals 75% when takes fatal damage,God among Us,"Activates 10s after appearing, ATK & DEF +99% and becomes immune to debuffs for 3s and heals HP for nearby allies.",Resurrection,One time only. Releases when an ally is dead. Creates a phantom of a dead ally for 3s.,https://i.imgur.com/2eqrxTI.png
Doctor Aoi,The client who entrusted Becas to test the mecha. She was surprised to see Becas driving Vassago and decided to go with Becas to check on the performance of mecha.,Electronic Jam,Stuns the enemy and reduces the enemy's accuracy greatly for 4.2s,Iron Wall,The damage taken from turret or upper body's front-21%. Can be stacked,Pre-emptive Strike,Activates when battle begins. Takes actions quicker than the enemy. Damage increases with skill levels,Swoop In,Group Aura: The duration for the abnormality effect on enemy's status +14%.,https://i.imgur.com/ax8c27q.png
Doris,"As the assistant for Dr. Aoi, she is just causing trouble all the time instead of helping her.",Static Space,Immobilizes all units and shells except yourself for 3s.,Distraction,Interferes a random enemy for 2.5s on debut,Unawareness,Raids the enemy while the enemy is preparing for battle. Empties the enemy's magazine for 0.3s.,Crisis Phantom,"When HP is lower than 40%, creates a clone that lasts for 3s at most.",https://i.imgur.com/ob1s1Ne.png
Doyle,"A gifted marksman from the Federated States special forces, he is a seasoned veteran who has returned alive from innumerable hellish battlefields. No one knows for sure when exactly he joined the military. He is a man of few words, but possesses an awe-inspiring affinity for machinery.",Sniper kill,Shoots an arrow that ignores any DEF skills. Damage increases with skill level.,Eagle Eye,"Shooting range of main and secondary armament increases 25%.. The further away from the target, the more damage deals, up to 14%. Cannot be stacked",Ambush,"Upon taking damage, receives Enters stealth for 2s together with allies in certain range. Increases ATK by 50%, interval 15s",Air raid command,Mecha gains a skill-Air Support. CD increases with level. 14s at most.,
Eddie,"Chairman of the Demolition Club in A.C.E. Academy. He always carries a large amount of dangerous explosives with him, and is nothing less than a walking powder keg.",Reversal,Launches a large shell to knock up the enemy. Damage increases with skill level,Social Outcast,Reduces the chance of becoming the enemy's target. Ef'fect increases with skill level,Demolition Expert,Group Aura: Increases the explosion range and the attack of explosive weapons by 14%.,Blast shell,30% chance for main armament and missile to deal a wider explosive range. Interval: 1s,https://i.imgur.com/aQ0FAVl.png
Edith,"A member of Cold Brook Knights from Empire, an outstanding knight who is well disciplined. But it also makes her often forgets that she is a girl and never had a boyfriend.",Absolute Field,"Grants a large-scale defensive field that can bounce off shells for 3s. DEF increased

Grants a large defensive field that can reflect ranged attacks for 3s. Increase user's defense by 50%",Adaptability,"Freezing, fire and EM defense+7%. Status abnormality resistance+70%.

Reduce Ice, fire and EM damage by -7%. Increase immunity to freeze, burn and paralysis by +70%.",Force,"Damage taken decreases with lower HP. Up to 20%. Cannot be stacked.

Decreases final damage recieved the lower the user's HP is. Maximum 20%. This effect cannot stack.",Tenacity,"Damage received from one attack is less than 5% of the maximum HP.

Received damage for each hit cannot exceed {value} of maximum HP.",
Elaine,"A mysterious girl who has lost her memories. She is cold and aloof and is naturally hostile to anyone who gets close to her because of her messed up memories. Meanwhile, She would also show her weak side at some time.",Fire At Will,Reloads and fires with all weapons for 1.5s. Gradually reduces melee skill's CD,Concentration,The first weapon's attack +40%.,Tenacity,Damage received from one attack is less than 5% of the maximum HP. Damage received from one attack cannot exceed 5% of the maximum HP.,Ace Pilot,Swap weapons faster. All attributes+10%,https://i.imgur.com/9mJDTmS.png
Elena,"A ""mechanical ghost""-type bounty hunter without an organic body, she spent her life as an ordinary human as a member of the Vatican Knights 300 years ago. She suffers from a severe lack of common-sense knowledge of contemporary society - after all, brain-death and a knight's disposition are a difficult mix. Charlotte and Aalter have taken pity on her, and she know accompanies them on their travels.",Tarantula hunting,Lauches hooks to pull and paralyze the enemies. Hook numbers increase as skill level increases.,Bloodthirsty,"When there is 1 enemy whoseHP is lower than 50%, final damage dealt+9.6%",Full Absorption,Absorbs 10.5% of damage dealt into HP. Can be stacked.,Soul,"Action cooldown time-5%. Minmum interval: 1s；Upon taking fatal damage, becomes stealth for 2s. Action CD-50%",https://i.imgur.com/K5x2nXx.png
Eleven,"She refers to herself as an arms dealer, but is actually a mercenary from the Far East monitoring Gwen Pullan and collecting data on his Armored Gull. Although she comes across as a sober and mature woman, a raging thirst for destruction lurks under the surface.",Air strike,Calls the mothership for air striking for 1.5s. Damage increases with skill level,Explosive Power,Charges to the front of the team and ATK & DEF +35% and becomes immune to debuffs for 3.5s .,Irritable,ATK+40% briefly when takes damage,Black cat,Final ATK and DEF+8.5% if there is no allies nearby,https://i.imgur.com/TEEEOS2.png
Ellie,"Adopted daughter of the president of OATH Company, Karin Heinrich. She is young but very thoughtful and she treats the employees like her own family. The doll she holds in arms is an A.I. which can help Ellie control mecha.",Missile pack,Launches different types of missiles. Increases 1 missile per 3 levels.,First Aid for All,8s after battle begins or debuts as reinforcements. Heals 10% HP for allies,Adaptability,"Freezing, fire and EM defense+7%. Status abnormality resistance+70%.",Playing Cute,"The attack of Ellie's target-20%, lasting 12s at most.",
Eloiti,"No one knows where Eloiti comes from, but at the same time, no one doubts that she ranks among the quickest draws in the wilderness. She is often compared to an eagle - free, brave, and full of strength.",不可防御,限一次，普通属性主炮、副炮攻击无视任何防御技能和异常抗性。持续7s,Akimbo,"When using 2 identical weapons simultaneously, ATK+0%.",Magazine Switch,Has 5 magazines. Swiftly reload half of the magazine if any weapon's mag is empty.,Concentration,ATK+22.5% if no damage taken in the past 1s,
Erica,"Instructor at A.C.E. Academy. She is very gentle and soft to the students, sometimes over protecting them.",Targeted Fire Focused Fire,The target will take 1.5x more damage when receiving targeted fire attacks for 3.6s. The target's debuff resistance will be weakened. Focused unit will take 1.5x more damage for 3.6s. Reduces the unit's debuff resistance.,Guardian Heart,"When destroyed, generates a large shield to protect allies. Heals 5% HP.",Love,Recovers 0.6% of HP per second for all allies. Cannot be stacked with same kind of recovery effects.,Field Guard,Activates on debut. Whole team DEF+25% for 5s,https://i.imgur.com/HvBvtSl.png
Field,"The first ranking master of one of the Grand God's ""Silver Lancer"". He is a aristocratic loafer who is free from trifles and lives at liberty. He was once the prince of the Empire but gave up his title to travel around the world for the absurd goal of ""meeting all the wonderful women in the world"".",Supply to All,Reloads ammo for all allies for 2s.,Choice,The reload speed of the first weapon+75%. the reload speed of other weapons-50%. Invalid to melee weapons.,Exile,"Everytime when there is a female reader.pilot on the enemy side, your final damage dealt+5%",Drone Recycle,Recycles drones will double its amount. Heals 1% HP. Cannot be stacked.,
Fillo,"The warrant officer of the Empire Harp Artillery regiment. Just like all the other regiment members, she is an energetic and optimistic lady from western empire and will cause a lot of troubles without supervision.",Supply to All,Reloads ammo for all allies for 2s.,Dual-Armament Volley,Uses 2 identical main armaments to attack simultaneously. Affected weapon's attack + 9.6%.,Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,Quick hand,Weapon reload speed + 10%. Effect doubles on main armaments.,https://i.imgur.com/Kd2Nmpm.png
Fiona,"A female mercenary who is together with Gwen Pullan, she possesses an outstanding aptitude for learning. In her past life, she served as a resistance fighter assigned to protect Gwen Pullan. She typically performs her tasks calmly and earnestly, and excels at caring for others. Although she may seem serious and unreachable, she still has a hidden girlish side.",Trap analysis,Removes allies debuffs. Abnormal resistance +12%.. Cannot be stacked by re-activating.,Cover aura,Group aura: DEF+25% briefly and removes debuffs when HP is lower than 50%,Guerrilla command,Random ally becomes stealth. Average interval: 7.2,Awareness,Strengthens ATK if not being destroyed in 2.5s when takes fatal damage. Taunts all enemies.,https://i.imgur.com/e4rm7Ht.png
Fritz,"Captain of the geist mercenary team in OATH Company, supervisor of Carlson and Becas. She has a fiery personality and will not hesitate to wipe out anyone getting in her way regardless whether they are friends or enemies.",Dual-gun rapid fire,The first two weapons rapidly fires for 2.1s,Critical Spray,14% chance for shotgun weapons to fire triply. Bonus attacks won't consume ammo.,Shotgun User,Shotgun's Attack +0% and shotgun shrapnel +1.,Zeal,Final damage increases with lower HP. Maximum:25%. Cannot be stacked with other identical effects.,https://i.imgur.com/G1W3Ns6.png
Fujiwara Renai,"A rare half-blood knight from the Empire and a member of the Phantom Cross. As an aggressive person, she would rather solve the problem with fists than words.",Martial Art,Immediately uses the strongest mecha action and other mecha actions CD-20%.,Ultra,Mech’s ability cooldown -12%.,Spurred,Activates when took damages. ATK and DEF+30%. Minimum interval: 6s,Mental tolerance,Becomes immune to paralysis and interference. The duration of stun-50%,https://i.imgur.com/wUYnt7l.png
